	community	roi	community_id	commmunity_id
125	DorsAttn	Post_24	Post_24	2
126	DorsAttn	Post_25	Post_25	2
127	DorsAttn	Post_26	Post_26	2
128	DorsAttn	Post_27	Post_27	2
129	DorsAttn	Post_28	Post_28	2
130	DorsAttn	FEF_1	FEF_1	2
131	DorsAttn	FEF_2	FEF_2	2
132	DorsAttn	FEF_3	FEF_3	2
133	DorsAttn	FEF_4	FEF_4	2
134	DorsAttn	PrCv_1	PrCv_1	2
135	DorsAttn	PrCv_2	PrCv_2	2
136	DorsAttn	PrCv_3	PrCv_3	2
137	SalVentAttn	ParOper_1	ParOper_1	3
138	SalVentAttn	ParOper_2	ParOper_2	3
139	SalVentAttn	ParOper_3	ParOper_3	3
140	SalVentAttn	ParOper_4	ParOper_4	3
141	SalVentAttn	ParOper_5	ParOper_5	3
142	SalVentAttn	ParOper_6	ParOper_6	3
143	SalVentAttn	TempOcc_1	TempOcc_1	3
144	SalVentAttn	FrOper_1	FrOper_1	3
145	SalVentAttn	FrOper_2	FrOper_2	3
146	SalVentAttn	FrOper_3	FrOper_3	3
147	SalVentAttn	FrOper_4	FrOper_4	3
148	SalVentAttn	FrOper_5	FrOper_5	3
149	SalVentAttn	FrOper_6	FrOper_6	3
150	SalVentAttn	FrOper_7	FrOper_7	3
151	SalVentAttn	FrOper_8	FrOper_8	3
152	SalVentAttn	FrOper_9	FrOper_9	3
153	SalVentAttn	FrOper_10	FrOper_10	3
154	SalVentAttn	FrOper_11	FrOper_11	3
155	SalVentAttn	PFCl_1	PFCl_1	3
156	SalVentAttn	PFCl_2	PFCl_2	3
157	SalVentAttn	Med_1	Med_1	3
158	SalVentAttn	Med_2	Med_2	3
159	SalVentAttn	Med_3	Med_3	3
160	SalVentAttn	Med_4	Med_4	3
161	SalVentAttn	Med_5	Med_5	3
162	SalVentAttn	Med_6	Med_6	3
163	SalVentAttn	Med_7	Med_7	3
164	SalVentAttn	Med_8	Med_8	3
165	SalVentAttn	Med_9	Med_9	3
166	SalVentAttn	Med_10	Med_10	3
167	SalVentAttn	Med_11	Med_11	3
168	SalVentAttn	Med_12	Med_12	3
169	SalVentAttn	Med_13	Med_13	3
170	SalVentAttn	Med_14	Med_14	3
171	Limbic	OFC_1	OFC_1	4
172	Limbic	OFC_2	OFC_2	4
173	Limbic	OFC_3	OFC_3	4
174	Limbic	OFC_4	OFC_4	4
175	Limbic	OFC_5	OFC_5	4
176	Limbic	OFC_6	OFC_6	4
177	Limbic	OFC_7	OFC_7	4
178	Limbic	OFC_8	OFC_8	4
179	Limbic	TempPole_1	TempPole_1	4
180	Limbic	TempPole_2	TempPole_2	4
181	Limbic	TempPole_3	TempPole_3	4
182	Limbic	TempPole_4	TempPole_4	4
183	Limbic	TempPole_5	TempPole_5	4
184	Limbic	TempPole_6	TempPole_6	4
185	Limbic	TempPole_7	TempPole_7	4
186	Limbic	TempPole_8	TempPole_8	4
187	Limbic	TempPole_9	TempPole_9	4
188	Limbic	TempPole_10	TempPole_10	4
189	Limbic	TempPole_11	TempPole_11	4
190	Limbic	TempPole_12	TempPole_12	4
191	Limbic	TempPole_13	TempPole_13	4
192	Limbic	TempPole_14	TempPole_14	4
193	Cont	Par_1	Par_1	5
194	Cont	Par_2	Par_2	5
195	Cont	Par_3	Par_3	5
196	Cont	Par_4	Par_4	5
197	Cont	Par_5	Par_5	5
198	Cont	Par_6	Par_6	5
199	Cont	Par_7	Par_7	5
200	Cont	Par_8	Par_8	5
201	Cont	Par_9	Par_9	5
202	Cont	Temp_1	Temp_1	5
203	Cont	PFCd_1	PFCd_1	5
204	Cont	PFCd_2	PFCd_2	5
205	Cont	PFCl_1	PFCl_1	5
206	Cont	PFCl_2	PFCl_2	5
207	Cont	PFCl_3	PFCl_3	5
208	Cont	PFCl_4	PFCl_4	5
209	Cont	PFCl_5	PFCl_5	5
210	Cont	PFCl_6	PFCl_6	5
211	Cont	PFCl_7	PFCl_7	5
212	Cont	PFCl_8	PFCl_8	5
213	Cont	PFCl_9	PFCl_9	5
214	Cont	PFCl_10	PFCl_10	5
215	Cont	PFCl_11	PFCl_11	5
216	Cont	PFCl_12	PFCl_12	5
217	Cont	PFCl_13	PFCl_13	5
218	Cont	PFCl_14	PFCl_14	5
219	Cont	PFCv_1	PFCv_1	5
220	Cont	PFCv_2	PFCv_2	5
221	Cont	pCun_1	pCun_1	5
222	Cont	pCun_2	pCun_2	5
223	Cont	Cing_1	Cing_1	5
224	Cont	Cing_2	Cing_2	5
225	Cont	Cing_3	Cing_3	5
226	Cont	Cing_4	Cing_4	5
227	Cont	PFCmp_1	PFCmp_1	5
228	Cont	PFCmp_2	PFCmp_2	5
229	Default	Temp_1	Temp_1	6
230	Default	Temp_2	Temp_2	6
231	Default	Temp_3	Temp_3	6
232	Default	Temp_4	Temp_4	6
233	Default	Temp_5	Temp_5	6
234	Default	Temp_6	Temp_6	6
235	Default	Temp_7	Temp_7	6
236	Default	Temp_8	Temp_8	6
237	Default	Temp_9	Temp_9	6
238	Default	Temp_10	Temp_10	6
239	Default	Temp_11	Temp_11	6
240	Default	Temp_12	Temp_12	6
241	Default	Temp_13	Temp_13	6
242	Default	Temp_14	Temp_14	6
243	Default	Temp_15	Temp_15	6
244	Default	Temp_16	Temp_16	6
245	Default	Temp_17	Temp_17	6
246	Default	Temp_18	Temp_18	6
247	Default	Temp_19	Temp_19	6
248	Default	Temp_20	Temp_20	6
249	Default	Temp_21	Temp_21	6
250	Default	Temp_22	Temp_22	6
251	Default	Temp_23	Temp_23	6
252	Default	Temp_24	Temp_24	6
253	Default	Temp_25	Temp_25	6
254	Default	PFC_1	PFC_1	6
255	Default	PFC_2	PFC_2	6
256	Default	PFC_3	PFC_3	6
257	Default	PFC_4	PFC_4	6
258	Default	PFC_5	PFC_5	6
259	Default	PFC_6	PFC_6	6
260	Default	PFC_7	PFC_7	6
261	Default	PFC_8	PFC_8	6
262	Default	PFC_9	PFC_9	6
263	Default	PFC_10	PFC_10	6
264	Default	PFC_11	PFC_11	6
265	Default	PFC_12	PFC_12	6
266	Default	PFC_13	PFC_13	6
267	Default	PFC_14	PFC_14	6
268	Default	PFC_15	PFC_15	6
269	Default	PFC_16	PFC_16	6
270	Default	PFC_17	PFC_17	6
271	Default	PFC_18	PFC_18	6
272	Default	PFC_19	PFC_19	6
273	Default	PFC_20	PFC_20	6
274	Default	PFC_21	PFC_21	6
275	Default	PFC_22	PFC_22	6
276	Default	PFC_23	PFC_23	6
277	Default	PFC_24	PFC_24	6
278	Default	PFC_25	PFC_25	6
279	Default	PFC_26	PFC_26	6
280	Default	PFC_27	PFC_27	6
281	Default	PFC_28	PFC_28	6
282	Default	PFC_29	PFC_29	6
283	Default	PCC_1	PCC_1	6
284	Default	PCC_2	PCC_2	6
285	Default	PCC_3	PCC_3	6
286	Default	PCC_4	PCC_4	6
287	Default	PCC_5	PCC_5	6
288	Default	PCC_6	PCC_6	6
289	Default	PCC_7	PCC_7	6
290	Default	PCC_8	PCC_8	6
291	Default	PCC_9	PCC_9	6
292	Default	PCC_10	PCC_10	6
293	Default	PCC_11	PCC_11	6
294	Default	PCC_12	PCC_12	6
295	Default	PCC_13	PCC_13	6
296	Default	PCC_14	PCC_14	6
297	Default	PCC_15	PCC_15	6
298	Default	PCC_16	PCC_16	6
299	Default	PCC_17	PCC_17	6
300	Default	PHC_1	PHC_1	6
301	Vis	1	1	0
302	Vis	2	2	0
303	Vis	3	3	0
304	Vis	4	4	0
305	Vis	5	5	0
306	Vis	6	6	0
307	Vis	7	7	0
308	Vis	8	8	0
309	Vis	9	9	0
310	Vis	10	10	0
311	Vis	11	11	0
312	Vis	12	12	0
313	Vis	13	13	0
314	Vis	14	14	0
315	Vis	15	15	0
316	Vis	16	16	0
317	Vis	17	17	0
318	Vis	18	18	0
319	Vis	19	19	0
320	Vis	20	20	0
321	Vis	21	21	0
322	Vis	22	22	0
323	Vis	23	23	0
324	Vis	24	24	0
325	Vis	25	25	0
326	Vis	26	26	0
327	Vis	27	27	0
328	Vis	28	28	0
329	Vis	29	29	0
330	Vis	30	30	0
331	Vis	31	31	0
332	Vis	32	32	0
333	Vis	33	33	0
334	Vis	34	34	0
335	Vis	35	35	0
336	Vis	36	36	0
337	Vis	37	37	0
338	Vis	38	38	0
339	Vis	39	39	0
340	Vis	40	40	0
341	Vis	41	41	0
342	Vis	42	42	0
343	Vis	43	43	0
344	Vis	44	44	0
345	SomMot	1	1	1
346	SomMot	2	2	1
347	SomMot	3	3	1
348	SomMot	4	4	1
349	SomMot	5	5	1
350	SomMot	6	6	1
351	SomMot	7	7	1
352	SomMot	8	8	1
353	SomMot	9	9	1
354	SomMot	10	10	1
355	SomMot	11	11	1
356	SomMot	12	12	1
357	SomMot	13	13	1
358	SomMot	14	14	1
359	SomMot	15	15	1
360	SomMot	16	16	1
361	SomMot	17	17	1
362	SomMot	18	18	1
363	SomMot	19	19	1
364	SomMot	20	20	1
365	SomMot	21	21	1
366	SomMot	22	22	1
367	SomMot	23	23	1
368	SomMot	24	24	1
369	SomMot	25	25	1
370	SomMot	26	26	1
371	SomMot	27	27	1
372	SomMot	28	28	1
373	SomMot	29	29	1
374	SomMot	30	30	1
375	SomMot	31	31	1
376	SomMot	32	32	1
377	SomMot	33	33	1
378	SomMot	34	34	1
379	SomMot	35	35	1
380	SomMot	36	36	1
381	SomMot	37	37	1
382	SomMot	38	38	1
383	SomMot	39	39	1
384	SomMot	40	40	1
385	SomMot	41	41	1
386	SomMot	42	42	1
387	SomMot	43	43	1
388	SomMot	44	44	1
389	SomMot	45	45	1
390	SomMot	46	46	1
391	SomMot	47	47	1
392	SomMot	48	48	1
393	SomMot	49	49	1
394	SomMot	50	50	1
395	SomMot	51	51	1
396	SomMot	52	52	1
397	SomMot	53	53	1
398	SomMot	54	54	1
399	SomMot	55	55	1
400	SomMot	56	56	1
401	DorsAttn	Post_1	Post_1	2
402	DorsAttn	Post_2	Post_2	2
403	DorsAttn	Post_3	Post_3	2
404	DorsAttn	Post_4	Post_4	2
405	DorsAttn	Post_5	Post_5	2
406	DorsAttn	Post_6	Post_6	2
407	DorsAttn	Post_7	Post_7	2
408	DorsAttn	Post_8	Post_8	2
409	DorsAttn	Post_9	Post_9	2
410	DorsAttn	Post_10	Post_10	2
411	DorsAttn	Post_11	Post_11	2
412	DorsAttn	Post_12	Post_12	2
413	DorsAttn	Post_13	Post_13	2
414	DorsAttn	Post_14	Post_14	2
415	DorsAttn	Post_15	Post_15	2
416	DorsAttn	Post_16	Post_16	2
417	DorsAttn	Post_17	Post_17	2
418	DorsAttn	Post_18	Post_18	2
419	DorsAttn	Post_19	Post_19	2
420	DorsAttn	Post_20	Post_20	2
421	DorsAttn	Post_21	Post_21	2
422	DorsAttn	Post_22	Post_22	2
423	DorsAttn	Post_23	Post_23	2
424	DorsAttn	Post_24	Post_24	2
425	DorsAttn	Post_25	Post_25	2
426	DorsAttn	Post_26	Post_26	2
427	DorsAttn	Post_27	Post_27	2
428	DorsAttn	Post_28	Post_28	2
429	DorsAttn	Post_29	Post_29	2
430	DorsAttn	Post_30	Post_30	2
431	DorsAttn	Post_31	Post_31	2
432	DorsAttn	FEF_1	FEF_1	2
433	DorsAttn	FEF_2	FEF_2	2
434	DorsAttn	FEF_3	FEF_3	2
435	DorsAttn	FEF_4	FEF_4	2
436	DorsAttn	PrCv_1	PrCv_1	2
437	DorsAttn	PrCv_2	PrCv_2	2
438	SalVentAttn	TempOccPar_1	TempOccPar_1	3
439	SalVentAttn	TempOccPar_2	TempOccPar_2	3
440	SalVentAttn	TempOccPar_3	TempOccPar_3	3
441	SalVentAttn	TempOccPar_4	TempOccPar_4	3
442	SalVentAttn	TempOccPar_5	TempOccPar_5	3
443	SalVentAttn	TempOccPar_6	TempOccPar_6	3
444	SalVentAttn	TempOccPar_7	TempOccPar_7	3
445	SalVentAttn	TempOccPar_8	TempOccPar_8	3
446	SalVentAttn	TempOccPar_9	TempOccPar_9	3
447	SalVentAttn	TempOccPar_10	TempOccPar_10	3
448	SalVentAttn	TempOccPar_11	TempOccPar_11	3
449	SalVentAttn	TempOccPar_12	TempOccPar_12	3
450	SalVentAttn	PrC_1	PrC_1	3
451	SalVentAttn	FrOper_1	FrOper_1	3
452	SalVentAttn	FrOper_2	FrOper_2	3
453	SalVentAttn	FrOper_3	FrOper_3	3
454	SalVentAttn	FrOper_4	FrOper_4	3
455	SalVentAttn	FrOper_5	FrOper_5	3
456	SalVentAttn	FrOper_6	FrOper_6	3
457	SalVentAttn	FrOper_7	FrOper_7	3
458	SalVentAttn	FrOper_8	FrOper_8	3
459	SalVentAttn	FrOper_9	FrOper_9	3
460	SalVentAttn	FrOper_10	FrOper_10	3
461	SalVentAttn	FrOper_11	FrOper_11	3
462	SalVentAttn	FrOper_12	FrOper_12	3
463	SalVentAttn	PFCl_1	PFCl_1	3
464	SalVentAttn	Med_1	Med_1	3
465	SalVentAttn	Med_2	Med_2	3
466	SalVentAttn	Med_3	Med_3	3
467	SalVentAttn	Med_4	Med_4	3
468	SalVentAttn	Med_5	Med_5	3
469	SalVentAttn	Med_6	Med_6	3
470	SalVentAttn	Med_7	Med_7	3
471	SalVentAttn	Med_8	Med_8	3
472	SalVentAttn	Med_9	Med_9	3
473	SalVentAttn	Med_10	Med_10	3
474	SalVentAttn	Med_11	Med_11	3
475	SalVentAttn	Med_12	Med_12	3
476	SalVentAttn	Med_13	Med_13	3
477	Limbic	OFC_1	OFC_1	4
478	Limbic	OFC_2	OFC_2	4
479	Limbic	OFC_3	OFC_3	4
480	Limbic	OFC_4	OFC_4	4
481	Limbic	OFC_5	OFC_5	4
482	Limbic	OFC_6	OFC_6	4
483	Limbic	OFC_7	OFC_7	4
484	Limbic	OFC_8	OFC_8	4
485	Limbic	OFC_9	OFC_9	4
486	Limbic	TempPole_1	TempPole_1	4
487	Limbic	TempPole_2	TempPole_2	4
488	Limbic	TempPole_3	TempPole_3	4
489	Limbic	TempPole_4	TempPole_4	4
490	Limbic	TempPole_5	TempPole_5	4
491	Limbic	TempPole_6	TempPole_6	4
492	Limbic	TempPole_7	TempPole_7	4
493	Limbic	TempPole_8	TempPole_8	4
494	Limbic	TempPole_9	TempPole_9	4
495	Limbic	TempPole_10	TempPole_10	4
496	Limbic	TempPole_11	TempPole_11	4
497	Cont	Par_1	Par_1	5
498	Cont	Par_2	Par_2	5
499	Cont	Par_3	Par_3	5
500	Cont	Par_4	Par_4	5
501	Cont	Par_5	Par_5	5
502	Cont	Par_6	Par_6	5
503	Cont	Par_7	Par_7	5
504	Cont	Par_8	Par_8	5
505	Cont	Par_9	Par_9	5
506	Cont	Temp_1	Temp_1	5
507	Cont	Temp_2	Temp_2	5
508	Cont	PFCv_1	PFCv_1	5
509	Cont	PFCl_1	PFCl_1	5
510	Cont	PFCl_2	PFCl_2	5
511	Cont	PFCl_3	PFCl_3	5
512	Cont	PFCl_4	PFCl_4	5
513	Cont	PFCl_5	PFCl_5	5
514	Cont	PFCl_6	PFCl_6	5
515	Cont	PFCl_7	PFCl_7	5
516	Cont	PFCl_8	PFCl_8	5
517	Cont	PFCl_9	PFCl_9	5
518	Cont	PFCl_10	PFCl_10	5
519	Cont	PFCl_11	PFCl_11	5
520	Cont	PFCl_12	PFCl_12	5
521	Cont	PFCl_13	PFCl_13	5
522	Cont	PFCl_14	PFCl_14	5
523	Cont	PFCl_15	PFCl_15	5
524	Cont	PFCl_16	PFCl_16	5
525	Cont	PFCl_17	PFCl_17	5
526	Cont	PFCl_18	PFCl_18	5
527	Cont	PFCl_19	PFCl_19	5
528	Cont	PFCl_20	PFCl_20	5
529	Cont	PFCl_21	PFCl_21	5
530	Cont	PFCl_22	PFCl_22	5
531	Cont	PFCl_23	PFCl_23	5
532	Cont	PFCl_24	PFCl_24	5
533	Cont	PFCl_25	PFCl_25	5
534	Cont	pCun_1	pCun_1	5
535	Cont	pCun_2	pCun_2	5
536	Cont	Cing_1	Cing_1	5
537	Cont	Cing_2	Cing_2	5
538	Cont	Cing_3	Cing_3	5
539	Cont	Cing_4	Cing_4	5
540	Cont	PFCmp_1	PFCmp_1	5
541	Cont	PFCmp_2	PFCmp_2	5
542	Cont	PFCmp_3	PFCmp_3	5
543	Default	Par_1	Par_1	6
544	Default	Par_2	Par_2	6
545	Default	Par_3	Par_3	6
546	Default	Par_4	Par_4	6
547	Default	Par_5	Par_5	6
548	Default	Par_6	Par_6	6
549	Default	Par_7	Par_7	6
550	Default	Par_8	Par_8	6
551	Default	Temp_1	Temp_1	6
552	Default	Temp_2	Temp_2	6
553	Default	Temp_3	Temp_3	6
554	Default	Temp_4	Temp_4	6
555	Default	Temp_5	Temp_5	6
556	Default	Temp_6	Temp_6	6
557	Default	Temp_7	Temp_7	6
558	Default	Temp_8	Temp_8	6
559	Default	Temp_9	Temp_9	6
560	Default	Temp_10	Temp_10	6
561	Default	Temp_11	Temp_11	6
562	Default	PFCv_1	PFCv_1	6
563	Default	PFCv_2	PFCv_2	6
564	Default	PFCv_3	PFCv_3	6
565	Default	PFCv_4	PFCv_4	6
566	Default	PFCv_5	PFCv_5	6
567	Default	PFCv_6	PFCv_6	6
568	Default	PFCm_1	PFCm_1	6
569	Default	PFCm_2	PFCm_2	6
570	Default	PFCm_3	PFCm_3	6
571	Default	PFCm_4	PFCm_4	6
572	Default	PFCm_5	PFCm_5	6
573	Default	PFCm_6	PFCm_6	6
574	Default	PFCm_7	PFCm_7	6
575	Default	PFCm_8	PFCm_8	6
576	Default	PFCm_9	PFCm_9	6
577	Default	PFCm_10	PFCm_10	6
578	Default	PFCm_11	PFCm_11	6
579	Default	PFCm_12	PFCm_12	6
580	Default	PFCm_13	PFCm_13	6
581	Default	PFCm_14	PFCm_14	6
582	Default	PFCm_15	PFCm_15	6
583	Default	PFCm_16	PFCm_16	6
584	Default	PFCm_17	PFCm_17	6
585	Default	PFCm_18	PFCm_18	6
586	Default	PFCm_19	PFCm_19	6
587	Default	PCC_1	PCC_1	6
588	Default	PCC_2	PCC_2	6
589	Default	PCC_3	PCC_3	6
590	Default	PCC_4	PCC_4	6
591	Default	PCC_5	PCC_5	6
592	Default	PCC_6	PCC_6	6
593	Default	PCC_7	PCC_7	6
594	Default	PCC_8	PCC_8	6
595	Default	PCC_9	PCC_9	6
596	Default	PCC_10	PCC_10	6
597	Default	PCC_11	PCC_11	6
598	Default	PCC_12	PCC_12	6
599	Default	PCC_13	PCC_13	6
600	Default	PCC_14	PCC_14	6
